;5FTHFabc;ACt;ADNabc;ATPase;CA2abc;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;GSNabc;H2Ot;Ht;Kt6;LIPTA;L_LACt2r;MG2abc;NACabc;NAt;NH3t;O2t;P5Pabc;PIabc;PYRt2r;RIBFLVabc;SPRMabc;THMDabc;THMPPabc;URAt2;AA_t2r;5FTHFPGS;ACKr;ACPPAT;ACPS;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCYTK;DGK1;DGSNK;ENO;FAKr;FBA;FMNAT;FTHFCL;GALU;GAPD;GK1;GLYK;GUAPRT;LDH_L;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E1;PDH_E2;PDH_E3;PFK;PGI;PGK;PGK2;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM;PRPPS;PSSYN;PTAr;PUNP1;PUNP3;PYK2;PYK3;PYK4;PYK6;PYK7;PYK8;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;AATRS;ACP_transl;PdhC_transl;tRNAP;Ribosome
forward;209.3489831461258;600520540000.0;102.07221906086075;80.8714645935973;194.22641745545684;440095500000.0;248.37483643099378;100.00083314043509;96.89043558194633;102.07221906086075;2682460000000.0;450174910000.0;249.74665251657794;920939630000.0;104.14360498128637;180152870000.0;10079410000.0;340.13679695642867;51254.27463284261;900780810000.0001;183.20739727800105;126.03772996178526;229897692800.0;170305260000.00003;319988100000.0;133.2986049854035;185.75268525841636;880621990000.0001;183.11911551487373;158.901090050911;98.83390581676551;226.3933357540441;1130948810000.0;981.3555097284295;818.4521453100026;14743.589629361944;5209.297523477553;22417.08750222662;3488.3331226499067;1397.6797954277895;5060.468404752719;195.69904481782604;769.2156088822603;957.0950599626694;256.22136822487096;1557.3381980528532;1527.1118812415596;3422.5455485422513;271.5734569585456;686.6154241814869;128899.93677817659;273.2273844814952;262.92479562668154;1097.9460900099682;277.3330793143634;412.9309021213542;82.41796023066303;176.02518028359808;1120.5746427523043;1311.6546705771132;1422.0642022652223;4516.952737134744;1118.6526014648923;6643.1646953315285;344.9214416262175;22779.38810316046;1198.6140512380468;294.65587353078973;358.5968989664512;395.3199965217684;1376.9988959927216;698.6998648668625;61333.268358081514;64721.34158983969;77964.45906187862;735.2828188051539;1249.1928945071277;6657.172475270307;6501.950404820204;6657.172475270307;643.8469200032497;1139.2589573007397;1203.935498762563;1389.6861332390888;4570.289774980208;846.2735456158651;288.9390330861404;25571.956789995784;6711.382560135819;2369.003651459092;1009.1689823414476;446.26856740850036;476.9864008937026;445.49371594962827;464.39739472333605;432.9047097792618;444.7162985985169;594.3629059116083;844.8447421251822;12618.964820148587;461.5961208778089;495.7076487829952;677.5864333459549;595.1253222621867;782.3462260183485;80.23431395568012;535.0636633917503;3306.0215683029905;320.8082706307075;3435.1664963013754;1438.9749681481783;17170.595050507425;1398260.8857020824;7270160.846182984;59763.08559760538;2.275
backward;209.34898314612576;600520540000.0;102.07221906086075;80.87146459359728;194.2264174554569;440095500000.0;248.37483643099378;100.00083314043508;96.89043558194633;102.07221906086075;2682460000000.0;450174910000.0;249.74665251657794;920939630000.0;104.14360498128639;180152870000.0;10079410000.0;340.13679695642867;51254.27073999182;900780810000.0001;183.20739727800108;126.03772996178526;229897692800.0;170305260000.00003;319988100000.0;133.2986049854035;185.75268525841642;880621990000.0001;183.11911551487376;158.90109005091102;98.83390581676552;226.39333575404413;1130948810000.0;981.3555097284295;818.450710911142;14743.58962936194;5209.295080592801;22417.08750222662;3488.333122649907;1397.6797954277895;5060.462527423439;195.71443520991286;769.2156088822603;957.0662768664229;256.2154367126761;1557.3381980528532;1527.11188124156;3422.545548542252;271.5734569585456;686.6663098989244;128899.91144586311;273.2268293129582;262.9247956266816;1097.9460900099684;277.3330793143634;412.9309021213542;82.4193467507299;176.02518028359808;1120.574642752304;1311.6546705771132;1422.0642022652223;4516.952737134744;1118.6526014648925;6643.164695331529;344.9214416262175;22779.388103160458;1198.6140512380468;294.65587353078973;358.59689896645125;395.3199965217684;1376.9988959927216;698.686674336648;61333.268358081514;64721.34158983969;77964.45906187862;735.282818805154;1249.1928945071277;6657.172475270305;6501.950404820204;6657.172475270305;643.8469200032497;1139.2589573007397;1203.9168926095379;1389.7539361259412;4570.289774980208;846.2735456158651;288.93903308614034;25571.956789995784;6711.38256013582;2369.0036514590915;1009.1689823414475;446.26856740850036;476.9864008937026;445.49371594962827;464.39739472333605;432.9047097792618;444.7162985985169;594.3629059116084;844.8447421251822;12618.964820148587;461.5961208778089;495.70764878299514;677.5864333459549;595.1253222621868;782.3462260183486;80.23431395568012;536.5205126657318;3306.0215683029905;320.8082706307075;3435.1664963013754;1438.9749681481785;17170.595599712917;1398260.8839617982;7270160.847700497;59763.08401742531;0.0
