;5FTHFabc;ACt;ADNabc;CA2abc;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;GSNabc;H2Ot;Kt6;LIPTA;MG2abc;NACabc;NAt;NH3t;O2t;P5Pabc;PIabc;PYRt2r;RIBFLVabc;SPRMabc;THMDabc;THMPPabc;URAt2;AA_t2r;5FTHFPGS;ACKr;ACPPAT;ACPS;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCYTK;DGK1;DGSNK;ENO;FAKr;FBA;FTHFCL;GALU;GAPD;GK1;GLYK;GUAPRT;LDH_L;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E1;PDH_E2;PDH_E3;PFK;PGI;PGK;PGK2;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM;PRPPS;PSSYN;PTAr;PUNP1;PUNP3;PYK2;PYK3;PYK4;PYK6;PYK7;PYK8;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;UDPG4E;UDPGALM;UMPK;UPPRT;AATRS;ACP_transl;PdhC_transl;dUTPase_transl;DNAP;tRNAP;Ribosome
forward;284.8660138809202;600520540000.0;214.15929388156107;194.22641745545687;440095500000.0;290.52918540433103;209.813287199664;203.28731420774042;214.15929388156107;2682460000000.0;450174910000.0;505.9226747632868;920939630000.0;218.50530056345815;180152870000.0;388.9797446040216;51254.27463284256;183.20739727800117;139.58115915244596;229897692800.0;170305260000.00003;319988100000.0;156.2080473292547;254.20393833308216;880621990000.0001;214.8712688953742;297.9781764221927;207.36493902082043;299.0515264011993;1130948810000.0;981.3555097284295;818.4521453100019;7371.794814680978;2604.648761738776;22417.08750222662;3488.3331226499067;698.8398977138954;5060.468404752714;195.69904481782618;769.2156088822608;957.0950599626698;64.05534205621777;1557.338198052854;1527.1118812415605;3422.5455485422513;358.1642809617232;1185.8790263368514;128899.9367781767;273.22738448149533;346.75800583491144;1097.9460900099687;365.76035100032584;412.93090212135405;115.67159158133045;176.02518028359808;1311.6546705771132;1422.0642022652223;1129.2381842836853;559.3263007324464;6643.164695331525;344.9214416262175;5694.8470257901145;147.32793676539487;358.5968989664512;395.3199965217687;1359.2627570863751;689.7004111322317;60543.2783513031;64721.34158983964;77964.45906187853;183.82070470128835;1249.1928945071277;6657.172475270305;6501.9504048202025;6657.172475270305;643.8469200032497;1139.2589573007406;1203.9354987625636;1389.6861332390877;761.7149624967019;141.0455909359774;48.15650551435668;25571.956789995795;6711.382560135813;2369.003651459094;1009.1689823414474;111.56714185212503;119.24660022342559;111.37342898740701;116.09934868083396;108.22617744481539;111.17907464962917;594.3629059116088;844.8447421251823;12618.964820148574;455.65063105763204;247.85382439149748;338.7932166729774;595.1253222621863;782.3462260183481;40.117156977840025;1653.010784151494;320.8082706307076;572.527749383562;1438.9749681481771;17170.595050507425;1398260.8857020824;7270160.846182984;4230289.464770215;119534.7724646874;58993.319993060824;4.55
backward;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
